Data Description:
,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
count,1492.0,1229.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1229.0,1280.0,1319.0,1360.0,1361.0,1361.0,1361.0,1361.0,1361.0,1319.0,536.0,532.0,533.0,498.0
mean,2004.4336461126006,915930.820992677,9092081.85859375,766372.3359375,4216552.94765625,4109156.56875,9196680.86875,4762966.37421875,2680330.67578125,429204.6167615948,902769.29453125,17601.614101592117,63746.76102941176,64538.92725936811,64271.05731080088,54268.92432035268,519214.03600293904,247071.35194709772,802441.5125094769,234.76829289706959,278.4147114511402,218.8661539741663,263.66113199437666
std,7.393982678901836,1065280.4240008178,11745187.39750724,1145241.5879188366,5543071.995647953,5482970.607875315,11978126.895704186,6293003.724990936,3353348.5591162215,534069.3186933647,1327561.8152063373,30016.16644696505,80205.13814281001,80293.38762519155,78910.54577607226,67889.27623023825,643638.4262309681,307705.62911751104,970703.0749573637,10.221510625664289,10.159722018528429,7.769616426232636,6.803725024986959
min,1992.0,43866.0,465650.0,31020.0,0.0,22093.0,481665.0,265549.0,139963.0,11541.0,12708.0,0.0,544.0,633.0,437.0,311.0,4878.0,1808.0,7254.0,187.134669958413,232.831509532896,178.557611651728,236.37910176331403
25%,1998.0,258314.0,2186305.25,189354.0,1153097.25,715834.5,2165404.5,1168032.0,635790.0,102831.0,181564.5,2021.0,11745.0,13739.0,13342.0,10919.0,110626.0,51471.0,181065.0,229.69435241263625,272.7615982902783,214.663401291545,259.5331712108278
50%,2004.0,648313.0,5079546.0,403376.5,2537073.5,2055780.5,5234505.5,2657452.0,1525405.5,271596.0,510259.5,8106.0,41597.5,43272.0,43339.0,36735.0,345775.0,164260.0,550342.0,237.23855244445502,280.6188034905995,220.41603448313703,265.01091228450105
75%,2011.0,1014528.0,10859847.75,828966.0,5080939.25,4768680.0,10745191.0,5568028.0,3229650.75,518600.0,966851.5,22295.0,73865.25,75481.0,76566.0,67460.0,611905.0,290502.0,928275.5,241.9954861630315,285.347428094796,223.999336825378,268.190120654764
max,2017.0,6307022.0,89217262.0,9990221.0,50904567.0,36105265.0,85320133.0,43964520.0,26058021.0,3995951.0,10223657.0,250911.0,530531.0,493415.0,500143.0,498403.0,3929869.0,2013687.0,5944746.0,253.420961133202,300.568235011147,236.773866580369,280.499129965249

Null Counts
PRIMARY_KEY: 0
STATE: 0
YEAR: 0
ENROLL: 263
TOTAL_REVENUE: 212
FEDERAL_REVENUE: 212
STATE_REVENUE: 212
LOCAL_REVENUE: 212
TOTAL_EXPENDITURE: 212
INSTRUCTION_EXPENDITURE: 212
SUPPORT_SERVICES_EXPENDITURE: 212
OTHER_EXPENDITURE: 263
CAPITAL_OUTLAY_EXPENDITURE: 212
GRADES_PK_G: 173
GRADES_KG_G: 132
GRADES_4_G: 131
GRADES_8_G: 131
GRADES_12_G: 131
GRADES_1_8_G: 131
GRADES_9_12_G: 131
GRADES_ALL_G: 173
AVG_MATH_4_SCORE: 956
AVG_MATH_8_SCORE: 960
AVG_READING_4_SCORE: 959
AVG_READING_8_SCORE: 994

Nulls in Total Revenue
,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
        'OTHER_EXPENDITURE': 8,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 8,
        'SUPPORT_SERVICES_EXPENDITURE': 8,
        'TOTAL_EXPENDITURE': 8,
        'TOTAL_REVENUE': 8,
        'YEAR': 0},
 2004: {'AVG_MATH_4_SCORE': 59,
        'AVG_MATH_8_SCORE': 59,
        'AVG_READING_4_SCORE': 59,
        'AVG_READING_8_SCORE': 59,
        'CAPITAL_OUTLAY_EXPENDITURE': 8,
        'ENROLL': 8,
        'FEDERAL_REVENUE': 8,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 2,
        'GRADES_KG_G': 0,
        'GRADES_PK_G': 2,
        'INSTRUCTION_EXPENDITURE': 8,
        'LOCAL_REVENUE': 8,
        'OTHER_EXPENDITURE': 8,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 8,
        'SUPPORT_SERVICES_EXPENDITURE': 8,
        'TOTAL_EXPENDITURE': 8,
        'TOTAL_REVENUE': 8,
        'YEAR': 0},
 2005: {'AVG_MATH_4_SCORE': 8,
        'AVG_MATH_8_SCORE': 8,
        'AVG_READING_4_SCORE': 8,
        'AVG_READING_8_SCORE': 8,
        'CAPITAL_OUTLAY_EXPENDITURE': 8,
        'ENROLL': 8,
        'FEDERAL_REVENUE': 8,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 2,
        'GRADES_KG_G': 0,
        'GRADES_PK_G': 2,
        'INSTRUCTION_EXPENDITURE': 8,
        'LOCAL_REVENUE': 8,
        'OTHER_EXPENDITURE': 8,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 8,
        'SUPPORT_SERVICES_EXPENDITURE': 8,
        'TOTAL_EXPENDITURE': 8,
        'TOTAL_REVENUE': 8,
        'YEAR': 0},
 2006: {'AVG_MATH_4_SCORE': 59,
        'AVG_MATH_8_SCORE': 59,
        'AVG_READING_4_SCORE': 59,
        'AVG_READING_8_SCORE': 59,
        'CAPITAL_OUTLAY_EXPENDITURE': 8,
        'ENROLL': 8,
        'FEDERAL_REVENUE': 8,
        'GRADES_12_G': 2,
        'GRADES_1_8_G': 2,
        'GRADES_4_G': 2,
        'GRADES_8_G': 2,
        'GRADES_9_12_G': 2,
        'GRADES_ALL_G': 3,
        'GRADES_KG_G': 2,
        'GRADES_PK_G': 3,
        'INSTRUCTION_EXPENDITURE': 8,
        'LOCAL_REVENUE': 8,
        'OTHER_EXPENDITURE': 8,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 8,
        'SUPPORT_SERVICES_EXPENDITURE': 8,
        'TOTAL_EXPENDITURE': 8,
        'TOTAL_REVENUE': 8,
        'YEAR': 0},
 2007: {'AVG_MATH_4_SCORE': 8,
        'AVG_MATH_8_SCORE': 8,
        'AVG_READING_4_SCORE': 8,
        'AVG_READING_8_SCORE': 8,
        'CAPITAL_OUTLAY_EXPENDITURE': 8,
        'ENROLL': 8,
        'FEDERAL_REVENUE': 8,
        'GRADES_12_G': 3,
        'GRADES_1_8_G': 3,
        'GRADES_4_G': 3,
        'GRADES_8_G': 3,
        'GRADES_9_12_G': 3,
        'GRADES_ALL_G': 4,
        'GRADES_KG_G': 3,
        'GRADES_PK_G': 4,
        'INSTRUCTION_EXPENDITURE': 8,
        'LOCAL_REVENUE': 8,
        'OTHER_EXPENDITURE': 8,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 8,
        'SUPPORT_SERVICES_EXPENDITURE': 8,
        'TOTAL_EXPENDITURE': 8,
        'TOTAL_REVENUE': 8,
        'YEAR': 0},
 2008: {'AVG_MATH_4_SCORE': 59,
        'AVG_MATH_8_SCORE': 59,
        'AVG_READING_4_SCORE': 59,
        'AVG_READING_8_SCORE': 59,
        'CAPITAL_OUTLAY_EXPENDITURE': 5,
        'ENROLL': 5,
        'FEDERAL_REVENUE': 5,
        'GRADES_12_G': 2,
        'GRADES_1_8_G': 2,
        'GRADES_4_G': 2,
        'GRADES_8_G': 2,
        'GRADES_9_12_G': 2,
        'GRADES_ALL_G': 3,
        'GRADES_KG_G': 2,
        'GRADES_PK_G': 3,
        'INSTRUCTION_EXPENDITURE': 5,
        'LOCAL_REVENUE': 5,
        'OTHER_EXPENDITURE': 5,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 5,
        'SUPPORT_SERVICES_EXPENDITURE': 5,
        'TOTAL_EXPENDITURE': 5,
        'TOTAL_REVENUE': 5,
        'YEAR': 0},
 2009: {'AVG_MATH_4_SCORE': 7,
        'AVG_MATH_8_SCORE': 7,
        'AVG_READING_4_SCORE': 7,
        'AVG_READING_8_SCORE': 7,
        'CAPITAL_OUTLAY_EXPENDITURE': 7,
        'ENROLL': 7,
        'FEDERAL_REVENUE': 7,
        'GRADES_12_G': 4,
        'GRADES_1_8_G': 4,
        'GRADES_4_G': 4,
        'GRADES_8_G': 4,
        'GRADES_9_12_G': 4,
        'GRADES_ALL_G': 5,
        'GRADES_KG_G': 4,
        'GRADES_PK_G': 5,
        'INSTRUCTION_EXPENDITURE': 7,
        'LOCAL_REVENUE': 7,
        'OTHER_EXPENDITURE': 7,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 7,
        'SUPPORT_SERVICES_EXPENDITURE': 7,
        'TOTAL_EXPENDITURE': 7,
        'TOTAL_REVENUE': 7,
        'YEAR': 0},
 2010: {'AVG_MATH_4_SCORE': 58,
        'AVG_MATH_8_SCORE': 58,
        'AVG_READING_4_SCORE': 58,
        'AVG_READING_8_SCORE': 58,
        'CAPITAL_OUTLAY_EXPENDITURE': 6,
        'ENROLL': 6,
        'FEDERAL_REVENUE': 6,
        'GRADES_12_G': 2,
        'GRADES_1_8_G': 2,
        'GRADES_4_G': 2,
        'GRADES_8_G': 2,
        'GRADES_9_12_G': 2,
        'GRADES_ALL_G': 4,
        'GRADES_KG_G': 2,
        'GRADES_PK_G': 4,
        'INSTRUCTION_EXPENDITURE': 6,
        'LOCAL_REVENUE': 6,
        'OTHER_EXPENDITURE': 6,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 6,
        'SUPPORT_SERVICES_EXPENDITURE': 6,
        'TOTAL_EXPENDITURE': 6,
        'TOTAL_REVENUE': 6,
        'YEAR': 0},
 2011: {'AVG_MATH_4_SCORE': 7,
        'AVG_MATH_8_SCORE': 7,
        'AVG_READING_4_SCORE': 7,
        'AVG_READING_8_SCORE': 7,
        'CAPITAL_OUTLAY_EXPENDITURE': 7,
        'ENROLL': 7,
        'FEDERAL_REVENUE': 7,
        'GRADES_12_G': 3,
        'GRADES_1_8_G': 3,
        'GRADES_4_G': 3,
        'GRADES_8_G': 3,
        'GRADES_9_12_G': 3,
        'GRADES_ALL_G': 4,
        'GRADES_KG_G': 3,
        'GRADES_PK_G': 4,
        'INSTRUCTION_EXPENDITURE': 7,
        'LOCAL_REVENUE': 7,
        'OTHER_EXPENDITURE': 7,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 7,
        'SUPPORT_SERVICES_EXPENDITURE': 7,
        'TOTAL_EXPENDITURE': 7,
        'TOTAL_REVENUE': 7,
        'YEAR': 0},
 2012: {'AVG_MATH_4_SCORE': 58,
        'AVG_MATH_8_SCORE': 58,
        'AVG_READING_4_SCORE': 58,
        'AVG_READING_8_SCORE': 58,
        'CAPITAL_OUTLAY_EXPENDITURE': 7,
        'ENROLL': 7,
        'FEDERAL_REVENUE': 7,
        'GRADES_12_G': 3,
        'GRADES_1_8_G': 3,
        'GRADES_4_G': 3,
        'GRADES_8_G': 3,
        'GRADES_9_12_G': 3,
        'GRADES_ALL_G': 4,
        'GRADES_KG_G': 3,
        'GRADES_PK_G': 4,
        'INSTRUCTION_EXPENDITURE': 7,
        'LOCAL_REVENUE': 7,
        'OTHER_EXPENDITURE': 7,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 7,
        'SUPPORT_SERVICES_EXPENDITURE': 7,
        'TOTAL_EXPENDITURE': 7,
        'TOTAL_REVENUE': 7,
        'YEAR': 0},
 2013: {'AVG_MATH_4_SCORE': 7,
        'AVG_MATH_8_SCORE': 7,
        'AVG_READING_4_SCORE': 7,
        'AVG_READING_8_SCORE': 7,
        'CAPITAL_OUTLAY_EXPENDITURE': 7,
        'ENROLL': 7,
        'FEDERAL_REVENUE': 7,
        'GRADES_12_G': 3,
        'GRADES_1_8_G': 3,
        'GRADES_4_G': 3,
        'GRADES_8_G': 3,
        'GRADES_9_12_G': 3,
        'GRADES_ALL_G': 4,
        'GRADES_KG_G': 3,
        'GRADES_PK_G': 4,
        'INSTRUCTION_EXPENDITURE': 7,
        'LOCAL_REVENUE': 7,
        'OTHER_EXPENDITURE': 7,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 7,
        'SUPPORT_SERVICES_EXPENDITURE': 7,
        'TOTAL_EXPENDITURE': 7,
        'TOTAL_REVENUE': 7,
        'YEAR': 0},
 2014: {'AVG_MATH_4_SCORE': 56,
        'AVG_MATH_8_SCORE': 56,
        'AVG_READING_4_SCORE': 56,
        'AVG_READING_8_SCORE': 56,
        'CAPITAL_OUTLAY_EXPENDITURE': 5,
        'ENROLL': 5,
        'FEDERAL_REVENUE': 5,
        'GRADES_12_G': 2,
        'GRADES_1_8_G': 2,
        'GRADES_4_G': 2,
        'GRADES_8_G': 2,
        'GRADES_9_12_G': 2,
        'GRADES_ALL_G': 3,
        'GRADES_KG_G': 2,
        'GRADES_PK_G': 3,
        'INSTRUCTION_EXPENDITURE': 5,
        'LOCAL_REVENUE': 5,
        'OTHER_EXPENDITURE': 5,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 5,
        'SUPPORT_SERVICES_EXPENDITURE': 5,
        'TOTAL_EXPENDITURE': 5,
        'TOTAL_REVENUE': 5,
        'YEAR': 0},
 2015: {'AVG_MATH_4_SCORE': 6,
        'AVG_MATH_8_SCORE': 6,
        'AVG_READING_4_SCORE': 6,
        'AVG_READING_8_SCORE': 6,
        'CAPITAL_OUTLAY_EXPENDITURE': 6,
        'ENROLL': 6,
        'FEDERAL_REVENUE': 6,
        'GRADES_12_G': 2,
        'GRADES_1_8_G': 2,
        'GRADES_4_G': 2,
        'GRADES_8_G': 2,
        'GRADES_9_12_G': 2,
        'GRADES_ALL_G': 5,
        'GRADES_KG_G': 2,
        'GRADES_PK_G': 5,
        'INSTRUCTION_EXPENDITURE': 6,
        'LOCAL_REVENUE': 6,
        'OTHER_EXPENDITURE': 6,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 6,
        'SUPPORT_SERVICES_EXPENDITURE': 6,
        'TOTAL_EXPENDITURE': 6,
        'TOTAL_REVENUE': 6,
        'YEAR': 0},
 2016: {'AVG_MATH_4_SCORE': 51,
        'AVG_MATH_8_SCORE': 51,
        'AVG_READING_4_SCORE': 51,
        'AVG_READING_8_SCORE': 51,
        'CAPITAL_OUTLAY_EXPENDITURE': 0,
        'ENROLL': 0,
        'FEDERAL_REVENUE': 0,
        'GRADES_12_G': 51,
        'GRADES_1_8_G': 51,
        'GRADES_4_G': 51,
        'GRADES_8_G': 51,
        'GRADES_9_12_G': 51,
        'GRADES_ALL_G': 51,
        'GRADES_KG_G': 51,
        'GRADES_PK_G': 51,
        'INSTRUCTION_EXPENDITURE': 0,
        'LOCAL_REVENUE': 0,
        'OTHER_EXPENDITURE': 0,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 0,
        'SUPPORT_SERVICES_EXPENDITURE': 0,
        'TOTAL_EXPENDITURE': 0,
        'TOTAL_REVENUE': 0,
        'YEAR': 0},
 2017: {'AVG_MATH_4_SCORE': 0,
        'AVG_MATH_8_SCORE': 0,
        'AVG_READING_4_SCORE': 0,
        'AVG_READING_8_SCORE': 0,
        'CAPITAL_OUTLAY_EXPENDITURE': 51,
        'ENROLL': 51,
        'FEDERAL_REVENUE': 51,
        'GRADES_12_G': 51,
        'GRADES_1_8_G': 51,
        'GRADES_4_G': 51,
        'GRADES_8_G': 51,
        'GRADES_9_12_G': 51,
        'GRADES_ALL_G': 51,
        'GRADES_KG_G': 51,
        'GRADES_PK_G': 51,
        'INSTRUCTION_EXPENDITURE': 51,
        'LOCAL_REVENUE': 51,
        'OTHER_EXPENDITURE': 51,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 51,
        'SUPPORT_SERVICES_EXPENDITURE': 51,
        'TOTAL_EXPENDITURE': 51,
        'TOTAL_REVENUE': 51,
        'YEAR': 0}}
